case_id,suite,pattern,stage,film,paper,reference_status,metal_status,max_abs,p99_abs,p95_abs,mean_abs,rmse,nrmse,psnr,ssim,mean_ref,mean_actual,std_ref,std_actual,mean_abs_delta,std_abs_delta,power_similarity,threshold_scale,status
quick__gray_ramp__film_log_raw,non_spatial,gray_ramp,film_log_raw,kodak_portra_400,kodak_portra_endura,generated,OK,3.180205353503496e-07,2.466170723192107e-07,1.823773466413936e-07,8.190120077469938e-08,9.882517653685105e-08,9.205626707608025e-09,160.71893279851483,1.0000000000000515,0.29553758524138374,0.2955376125517862,0.5034495222310912,0.5034495246630871,2.7310402439528758e-08,2.4319959379681677e-09,nan,0.9,PASSED
quick__gray_ramp__film_density_cmy,non_spatial,gray_ramp,film_density_cmy,kodak_portra_400,kodak_portra_endura,generated,OK,2.687866309525333e-07,1.6808314806660007e-07,1.2091763867960736e-07,4.9948432426774523e-08,6.252585331748782e-08,4.81561056780912e-08,146.3469728232521,0.9999999999994807,0.9159524044272263,0.9159524104285026,0.24208162540411707,0.24208160680682125,6.001276364742125e-09,1.8597295814437587e-08,nan,0.9,PASSED
quick__gray_ramp__print_log_raw,non_spatial,gray_ramp,print_log_raw,kodak_portra_400,kodak_portra_endura,generated,OK,2.902063278575895e-07,2.0665324443336353e-07,1.516851803051722e-07,6.20716741828632e-08,7.765971603414125e-08,5.8793923985716926e-08,144.6133510688928,0.9999999999970076,-0.1749239154516639,-0.17492392113047905,0.24634835440553002,0.24634834092380115,5.678815140353066e-09,1.3481728872166698e-08,nan,0.9,PASSED
quick__gray_ramp__print_density_cmy,non_spatial,gray_ramp,print_density_cmy,kodak_portra_400,kodak_portra_endura,generated,OK,6.819089850562676e-07,4.298547742198622e-07,2.474263845475555e-07,7.566075699326045e-08,1.132846029078705e-07,5.008671573190127e-08,146.00554889556687,0.9999999999983945,0.365620700157426,0.36562068484797944,0.42986680819899664,0.4298667734604607,1.5309446543820826e-08,3.473853593671805e-08,nan,0.9,PASSED
quick__gray_ramp__final_linear_rgb,non_spatial,gray_ramp,final_linear_rgb,kodak_portra_400,kodak_portra_endura,generated,OK,6.07785057837873e-07,4.1785744264721814e-07,3.3461321458094773e-07,1.3243806911178886e-07,1.7026207807489985e-07,2.519002563701257e-07,131.97542781001596,0.9999999999781323,0.42588862229626573,0.425888506533536,0.20843152218228028,0.2084314561645385,1.1576272973545798e-07,6.601774177328323e-08,nan,0.9,PASSED
quick__log_gray_ramp__film_log_raw,non_spatial,log_gray_ramp,film_log_raw,kodak_portra_400,kodak_portra_endura,generated,OK,3.4327614995000033e-07,2.634547275892629e-07,2.0069873229999757e-07,8.770921469920754e-08,1.0689706589204407e-07,2.6723420524221672e-08,151.46215908282227,0.9999999999996448,5.925205129929544e-05,5.928306829143063e-05,1.1554525419401778,1.155452550486982,3.101699213519071e-08,8.546804153297671e-09,nan,0.9,PASSED
quick__log_gray_ramp__film_density_cmy,non_spatial,log_gray_ramp,film_density_cmy,kodak_portra_400,kodak_portra_endura,generated,OK,2.8919714023523113e-07,1.8794147282896745e-07,1.3289820632866878e-07,4.741454034989517e-08,6.393261506571246e-08,3.14013279194905e-08,150.0610397162982,0.9999999999995696,0.7876740299705275,0.7876740465576151,0.5913697110225282,0.5913697158453679,1.6587087592334626e-08,4.822839683171765e-09,nan,0.9,PASSED
quick__log_gray_ramp__print_log_raw,non_spatial,log_gray_ramp,print_log_raw,kodak_portra_400,kodak_portra_endura,generated,OK,3.5486806748696864e-07,2.2461246185212502e-07,1.6089077370384786e-07,6.43704082030004e-08,8.166295778975086e-08,3.964303319894248e-08,148.03666247668846,0.9999999999985182,-0.02557493566231324,-0.025574954195316007,0.6382477738128173,0.6382477738088483,1.853300276785652e-08,3.968936290732472e-12,nan,0.9,PASSED
quick__log_gray_ramp__print_density_cmy,non_spatial,log_gray_ramp,print_density_cmy,kodak_portra_400,kodak_portra_endura,generated,OK,6.595856909541453e-07,4.16096582078751e-07,2.652587944851348e-07,6.9298663835876e-08,1.1371157054229063e-07,4.911061357719661e-08,146.17649279709667,0.999999999997014,0.8678733228604276,0.8678732918541989,0.8479784313949065,0.847978411277022,3.10062286956736e-08,2.0117884469428304e-08,nan,0.9,PASSED
quick__log_gray_ramp__final_linear_rgb,non_spatial,log_gray_ramp,final_linear_rgb,kodak_portra_400,kodak_portra_endura,generated,OK,8.084545464193127e-07,5.240655205351885e-07,3.61390383507576e-07,9.598716182736279e-08,1.6021649025737545e-07,1.9790224099251744e-07,134.07098575860337,0.9999999999841592,0.341628468693268,0.3416283898004622,0.343353754759054,0.34335367084759205,7.889280584372216e-08,8.391146194552945e-08,nan,0.9,PASSED
