candidate,perf_status,quality_status,quality_policy,case,width,height,iterations,avg_wall_ms,avg_fps,avg_cpu_setup_ms,avg_source_copy_ms,avg_command_buffer_ms,avg_output_copy_ms,avg_pass_count,threadgroup,diffusion_group_size,scanner_image_storage,blur_backend,blur_downsample,intermediate_precision,diffusion_cluster_sigma,halation_grouped_tail,scanner_mps,grain_blur_recurrence,dir_tail_backend,source_format,destination_format,host_layout,grain_synthesis_sampler,grain_synthesis_radius_lut,grain_synthesis_target_storage,grain_synthesis_cell_mode,avg_private_scratch_alloc_bytes,avg_private_scratch_alloc_count,avg_scratch_alloc_bytes,avg_scratch_alloc_count,avg_shared_scratch_alloc_bytes,avg_shared_scratch_alloc_count,avg_static_alloc_bytes,avg_static_alloc_count,avg_upload_bytes,camera_diffusion,destination_no_copy,dir,final_post_process,halation,mean_luma,pass_gpu_timing,pass_timing_mode,print_diffusion,private_scratch,production_grain,returncode,source_no_copy,stderr_log,stdout_log
tg-16x16,OK,PASSED,exact,all-effects,1920,1080,5,435.322,2.297,0.093,0.0,435.211,0.0,83.0,16x16,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,1.0,1.0,1.0,1.0,0.0,0.62,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/tg-16x16/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/tg-16x16/perf_all_1920x1080.stdout.log
host-offset-float,OK,PASSED,exact,all-effects,1920,1080,5,498.197,2.007,0.125,0.818,496.452,0.789,83.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,offset,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33181752.0,1.0,0.0,1.0,1.0,0.0,0.62,0.0,off,0.0,1.0,1.0,0,0.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-offset-float/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-offset-float/perf_all_1920x1080.stdout.log
host-strided-float,OK,PASSED,exact,all-effects,1920,1080,5,488.35,2.048,0.137,1.003,485.975,1.223,83.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,strided,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33181752.0,1.0,0.0,1.0,1.0,0.0,0.62,0.0,off,0.0,1.0,1.0,0,0.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-strided-float/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-strided-float/perf_all_1920x1080.stdout.log
host-half-destination,OK,PASSED,exact,all-effects,1920,1080,5,507.235,1.971,0.096,0.0,507.122,0.0,84.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,half,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,1.0,1.0,1.0,1.0,0.0,0.62,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-half-destination/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-half-destination/perf_all_1920x1080.stdout.log
host-half-source,OK,PASSED,exact,all-effects,1920,1080,5,512.202,1.952,0.112,0.0,512.064,0.0,84.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,half,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,1.0,1.0,1.0,1.0,0.0,0.62,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-half-source/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-half-source/perf_all_1920x1080.stdout.log
host-half-io,OK,PASSED,exact,all-effects,1920,1080,5,505.708,1.977,0.13,0.0,505.537,0.0,85.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,half,half,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,1.0,1.0,1.0,1.0,0.0,0.62,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-half-io/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-half-io/perf_all_1920x1080.stdout.log
diffusion-group-2,OK,PASSED,exact,all-effects,3840,2160,5,2352.453,0.425,0.083,0.0,2352.348,0.0,57.0,auto,2,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,1.0,1.0,1.0,1.0,0.0,0.618,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/diffusion-group-2/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/diffusion-group-2/perf_all_3840x2160.stdout.log
host-offset-float,OK,PASSED,exact,all-effects,3840,2160,5,2525.584,0.396,0.124,4.513,2516.123,4.804,83.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,offset,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132714552.0,1.0,0.0,1.0,1.0,0.0,0.618,0.0,off,0.0,1.0,1.0,0,0.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-offset-float/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-offset-float/perf_all_3840x2160.stdout.log
host-strided-float,OK,PASSED,exact,all-effects,3840,2160,5,2527.648,0.396,0.115,4.317,2516.267,6.928,83.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,strided,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132714552.0,1.0,0.0,1.0,1.0,0.0,0.618,0.0,off,0.0,1.0,1.0,0,0.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-strided-float/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-strided-float/perf_all_3840x2160.stdout.log
host-half-destination,OK,PASSED,exact,all-effects,3840,2160,5,2502.493,0.4,0.145,0.0,2502.317,0.0,84.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,half,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,1.0,1.0,1.0,1.0,0.0,0.618,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-half-destination/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-half-destination/perf_all_3840x2160.stdout.log
host-half-source,OK,PASSED,exact,all-effects,3840,2160,5,2507.446,0.399,0.1,0.0,2507.324,0.0,84.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,half,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,1.0,1.0,1.0,1.0,0.0,0.618,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-half-source/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-half-source/perf_all_3840x2160.stdout.log
host-half-io,OK,PASSED,exact,all-effects,3840,2160,5,2522.741,0.396,0.078,0.0,2522.642,0.0,85.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,half,half,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,1.0,1.0,1.0,1.0,0.0,0.618,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-half-io/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-half-io/perf_all_3840x2160.stdout.log
tg-auto,OK,PASSED,exact,auto-exposure,1920,1080,5,8.869,112.754,0.307,0.0,8.55,0.0,4.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.419,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/tg-auto/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/tg-auto/perf_all_1920x1080.stdout.log
host-offset-float,OK,PASSED,exact,auto-exposure,1920,1080,5,9.78,102.245,0.296,0.781,7.897,0.8,4.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,offset,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33178184.0,0.0,0.0,0.0,1.0,0.0,0.419,0.0,off,0.0,1.0,0.0,0,0.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-offset-float/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-offset-float/perf_all_1920x1080.stdout.log
host-strided-float,OK,PASSED,exact,auto-exposure,1920,1080,5,10.708,93.389,0.302,0.972,8.149,1.276,4.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,strided,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33178184.0,0.0,0.0,0.0,1.0,0.0,0.419,0.0,off,0.0,1.0,0.0,0,0.0,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-strided-float/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/exhaustive_sweep_new/host-strided-float/perf_all_1920x1080.stdout.log
