candidate,perf_status,quality_status,quality_policy,promotable,case,width,height,avg_wall_ms,baseline_avg_wall_ms,wall_delta_pct,speedup,avg_pass_count,baseline_avg_pass_count,pass_count_delta,threadgroup,diffusion_group_size,scanner_image_storage,blur_backend,blur_downsample,intermediate_precision,diffusion_cluster_sigma,halation_grouped_tail,scanner_mps,grain_blur_recurrence,dir_tail_backend,source_format,destination_format,host_layout
baseline,OK,PASSED,exact,1,default-final,1920,1080,15.36,15.36,0.0,1.0,5.0,5.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,production-grain,1920,1080,46.226,46.226,0.0,1.0,11.0,11.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,enlarged-production-grain,1920,1080,48.571,48.571,0.0,1.0,12.0,12.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,production-grain-no-sublayers,1920,1080,26.693,26.693,0.0,1.0,9.0,9.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,production-grain-no-blur,1920,1080,20.978,20.978,0.0,1.0,7.0,7.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,auto-exposure,1920,1080,9.039,9.039,0.0,1.0,4.0,4.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,halation-only,1920,1080,23.088,23.088,0.0,1.0,21.0,21.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,halation-boost,1920,1080,24.317,24.317,0.0,1.0,24.0,24.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,camera-diffusion-only,1920,1080,349.877,349.877,0.0,1.0,60.0,60.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,print-diffusion-only,1920,1080,350.401,350.401,0.0,1.0,61.0,61.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,dir-only,1920,1080,35.582,35.582,0.0,1.0,8.0,8.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,scanner-only,1920,1080,7.092,7.092,0.0,1.0,9.0,9.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,scanner-glare,1920,1080,10.78,10.78,0.0,1.0,9.0,9.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,all-effects,1920,1080,501.443,501.443,0.0,1.0,83.0,83.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,default-final,3840,2160,59.023,59.023,0.0,1.0,5.0,5.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,production-grain,3840,2160,183.946,183.946,0.0,1.0,11.0,11.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,enlarged-production-grain,3840,2160,200.484,200.484,0.0,1.0,12.0,12.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
