candidate,perf_status,quality_status,quality_policy,case,width,height,iterations,avg_wall_ms,avg_fps,avg_cpu_setup_ms,avg_source_copy_ms,avg_command_buffer_ms,avg_output_copy_ms,avg_pass_count,threadgroup,diffusion_group_size,scanner_image_storage,blur_backend,blur_downsample,intermediate_precision,diffusion_cluster_sigma,halation_grouped_tail,scanner_mps,grain_blur_recurrence,dir_tail_backend,source_format,destination_format,host_layout,grain_synthesis_sampler,grain_synthesis_radius_lut,grain_synthesis_target_storage,grain_synthesis_cell_mode,avg_private_scratch_alloc_bytes,avg_private_scratch_alloc_count,avg_scratch_alloc_bytes,avg_scratch_alloc_count,avg_shared_scratch_alloc_bytes,avg_shared_scratch_alloc_count,avg_static_alloc_bytes,avg_static_alloc_count,avg_upload_bytes,camera_diffusion,destination_no_copy,dir,final_post_process,halation,mean_luma,pass_gpu_timing,pass_timing_mode,print_diffusion,private_scratch,production_grain,returncode,source_no_copy,stderr_log,stdout_log
strict-dg2-recurrence-tg16x16,OK,PASSED,exact,all-effects,1920,1080,5,417.358,2.396,0.092,0.0,417.249,0.0,57.0,16x16,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,1.0,1.0,1.0,1.0,0.0,0.62,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg16x16/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg16x16/perf_all_1920x1080.stdout.log
strict-dg2-recurrence,OK,PASSED,exact,all-effects,3840,2160,5,2343.758,0.427,0.092,0.0,2343.648,0.0,57.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,1.0,1.0,1.0,1.0,0.0,0.618,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,auto-exposure,1920,1080,5,9.039,110.627,0.309,0.0,8.714,0.0,4.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.419,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/baseline/perf_all_1920x1080.stdout.log
strict-dg2-recurrence-tg16x16,OK,PASSED,exact,auto-exposure,3840,2160,5,32.83,30.46,0.536,0.0,32.265,0.0,4.0,16x16,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.419,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg16x16/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg16x16/perf_all_3840x2160.stdout.log
strict-dg2-recurrence,OK,PASSED,exact,camera-diffusion-only,1920,1080,5,328.648,3.043,0.069,0.0,328.556,0.0,34.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_1920x1080.stdout.log
strict-dg2-recurrence,OK,PASSED,exact,camera-diffusion-only,3840,2160,5,1943.055,0.515,0.053,0.0,1942.984,0.0,34.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_3840x2160.stdout.log
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,default-final,1920,1080,5,15.395,64.958,0.032,0.0,15.337,0.0,5.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,default-final,3840,2160,5,58.968,16.958,0.047,0.0,58.897,0.0,5.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.646,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/baseline/perf_all_3840x2160.stdout.log
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,dir-only,1920,1080,5,35.292,28.335,0.039,0.0,35.227,0.0,8.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704.0,0.0,1.0,1.0,1.0,0.0,0.621,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_1920x1080.stdout.log
strict-dg2-recurrence-tg16x16,OK,PASSED,exact,dir-only,3840,2160,5,260.81,3.834,0.067,0.0,260.707,0.0,8.0,16x16,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704.0,0.0,1.0,1.0,1.0,0.0,0.621,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg16x16/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg16x16/perf_all_3840x2160.stdout.log
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,enlarged-production-grain,1920,1080,5,46.839,21.35,0.052,0.0,46.768,0.0,12.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.716,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_1920x1080.stdout.log
strict-dg2-recurrence,OK,PASSED,exact,enlarged-production-grain,3840,2160,5,190.817,5.241,0.056,0.0,190.741,0.0,12.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.703,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_3840x2160.stdout.log
strict-dg2-recurrence,OK,PASSED,exact,halation-boost,1920,1080,5,24.115,41.468,0.047,0.0,24.051,0.0,24.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,1.0,0.648,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_1920x1080.stdout.log
strict-dg2-recurrence,OK,PASSED,exact,halation-boost,3840,2160,5,132.241,7.562,0.054,0.0,132.164,0.0,24.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,1.0,0.648,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_3840x2160.stdout.log
strict-dg2-recurrence,OK,PASSED,exact,halation-only,1920,1080,5,22.879,43.708,0.049,0.0,22.81,0.0,21.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,1.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_1920x1080.stdout.log
strict-dg2-recurrence,OK,PASSED,exact,halation-only,3840,2160,5,126.568,7.901,0.055,0.0,126.494,0.0,21.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,1.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_3840x2160.stdout.log
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,print-diffusion-only,1920,1080,5,328.942,3.04,0.065,0.0,328.857,0.0,35.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,1.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_1920x1080.stdout.log
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,print-diffusion-only,3840,2160,5,1943.502,0.515,0.112,0.0,1943.361,0.0,35.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,1.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_3840x2160.stdout.log
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,production-grain,1920,1080,5,45.992,21.743,0.039,0.0,45.929,0.0,11.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.645,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_1920x1080.stdout.log
strict-dg2-recurrence-tg16x16,OK,PASSED,exact,production-grain,3840,2160,5,181.4,5.513,0.075,0.0,181.294,0.0,11.0,16x16,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.643,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg16x16/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg16x16/perf_all_3840x2160.stdout.log
strict-dg2-recurrence,OK,PASSED,exact,production-grain-no-blur,1920,1080,5,20.603,48.537,0.038,0.0,20.55,0.0,7.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.645,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_1920x1080.stdout.log
strict-dg2-recurrence-tg32x8,OK,PASSED,exact,production-grain-no-blur,3840,2160,5,80.231,12.464,0.049,0.0,80.162,0.0,7.0,32x8,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.642,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence-tg32x8/perf_all_3840x2160.stdout.log
strict-dg2-recurrence,OK,PASSED,exact,production-grain-no-sublayers,1920,1080,5,26.197,38.172,0.035,0.0,26.14,0.0,9.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_flags_512/strict-dg2-recurrence/perf_all_1920x1080.stdout.log
