candidate,perf_status,quality_status,quality_policy,promotable,case,width,height,avg_wall_ms,baseline_avg_wall_ms,wall_delta_pct,speedup,avg_pass_count,baseline_avg_pass_count,pass_count_delta,threadgroup,diffusion_group_size,scanner_image_storage,blur_backend,blur_downsample,intermediate_precision,diffusion_cluster_sigma,halation_grouped_tail,scanner_mps,grain_blur_recurrence,dir_tail_backend,source_format,destination_format,host_layout
baseline,OK,PASSED,exact,1,default-final,1920,1080,15.433,15.433,0.0,1.0,5.0,5.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,production-grain,1920,1080,46.242,46.242,0.0,1.0,11.0,11.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,enlarged-production-grain,1920,1080,48.103,48.103,0.0,1.0,12.0,12.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,production-grain-no-sublayers,1920,1080,26.542,26.542,0.0,1.0,9.0,9.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,production-grain-no-blur,1920,1080,20.834,20.834,0.0,1.0,7.0,7.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,auto-exposure,1920,1080,9.039,9.039,0.0,1.0,4.0,4.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,halation-only,1920,1080,22.902,22.902,0.0,1.0,21.0,21.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,halation-boost,1920,1080,24.148,24.148,0.0,1.0,24.0,24.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,camera-diffusion-only,1920,1080,350.456,350.456,0.0,1.0,60.0,60.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,print-diffusion-only,1920,1080,349.67,349.67,0.0,1.0,61.0,61.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,dir-only,1920,1080,35.606,35.606,0.0,1.0,8.0,8.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,scanner-only,1920,1080,6.964,6.964,0.0,1.0,9.0,9.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,scanner-glare,1920,1080,10.884,10.884,0.0,1.0,9.0,9.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
baseline,OK,PASSED,exact,1,all-effects,1920,1080,496.876,496.876,0.0,1.0,83.0,83.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
