candidate,perf_status,quality_status,quality_policy,case,width,height,iterations,avg_wall_ms,avg_fps,avg_cpu_setup_ms,avg_source_copy_ms,avg_command_buffer_ms,avg_output_copy_ms,avg_pass_count,threadgroup,diffusion_group_size,scanner_image_storage,blur_backend,blur_downsample,intermediate_precision,diffusion_cluster_sigma,halation_grouped_tail,scanner_mps,grain_blur_recurrence,dir_tail_backend,source_format,destination_format,host_layout,grain_synthesis_sampler,grain_synthesis_radius_lut,grain_synthesis_target_storage,grain_synthesis_cell_mode,avg_private_scratch_alloc_bytes,avg_private_scratch_alloc_count,avg_scratch_alloc_bytes,avg_scratch_alloc_count,avg_shared_scratch_alloc_bytes,avg_shared_scratch_alloc_count,avg_static_alloc_bytes,avg_static_alloc_count,avg_upload_bytes,camera_diffusion,destination_no_copy,dir,final_post_process,halation,mean_luma,pass_gpu_timing,pass_timing_mode,print_diffusion,private_scratch,production_grain,returncode,source_no_copy,stderr_log,stdout_log
baseline,OK,PASSED,exact,default-final,1920,1080,5,15.494,64.539,0.03,0.0,15.443,0.0,5.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,production-grain,1920,1080,5,45.849,21.811,0.044,0.0,45.786,0.0,11.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.645,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,enlarged-production-grain,1920,1080,5,48.065,20.805,0.046,0.0,48.0,0.0,12.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.716,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,production-grain-no-sublayers,1920,1080,5,26.487,37.755,0.045,0.0,26.421,0.0,9.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,production-grain-no-blur,1920,1080,5,20.725,48.251,0.042,0.0,20.666,0.0,7.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.645,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,auto-exposure,1920,1080,5,9.005,111.053,0.3,0.0,8.693,0.0,4.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.419,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,halation-only,1920,1080,5,22.933,43.605,0.038,0.0,22.87,0.0,21.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,1.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,halation-boost,1920,1080,5,24.2,41.322,0.037,0.0,24.138,0.0,24.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,1.0,0.648,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,camera-diffusion-only,1920,1080,5,350.167,2.856,0.071,0.0,350.078,0.0,60.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,print-diffusion-only,1920,1080,5,350.294,2.855,0.074,0.0,350.197,0.0,61.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,1.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
