candidate,perf_status,quality_status,quality_policy,case,width,height,iterations,avg_wall_ms,avg_fps,avg_cpu_setup_ms,avg_source_copy_ms,avg_command_buffer_ms,avg_output_copy_ms,avg_pass_count,threadgroup,diffusion_group_size,scanner_image_storage,blur_backend,blur_downsample,intermediate_precision,diffusion_cluster_sigma,halation_grouped_tail,scanner_mps,grain_blur_recurrence,dir_tail_backend,source_format,destination_format,host_layout,grain_synthesis_sampler,grain_synthesis_radius_lut,grain_synthesis_target_storage,grain_synthesis_cell_mode,avg_private_scratch_alloc_bytes,avg_private_scratch_alloc_count,avg_scratch_alloc_bytes,avg_scratch_alloc_count,avg_shared_scratch_alloc_bytes,avg_shared_scratch_alloc_count,avg_static_alloc_bytes,avg_static_alloc_count,avg_upload_bytes,camera_diffusion,destination_no_copy,dir,final_post_process,halation,mean_luma,pass_gpu_timing,pass_timing_mode,print_diffusion,private_scratch,production_grain,returncode,source_no_copy,stderr_log,stdout_log
baseline,OK,PASSED,exact,all-effects,1920,1080,10,512.973,1.949,0.324,0.0,512.602,0.0,83.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,1.0,1.0,1.0,1.0,0.0,0.62,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,all-effects,3840,2160,10,3410.765,0.293,0.277,0.0,3410.456,0.0,83.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,1.0,1.0,1.0,1.0,0.0,0.618,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,auto-exposure,1920,1080,10,8.926,112.031,0.29,0.0,8.622,0.0,4.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.419,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,auto-exposure,3840,2160,10,32.709,30.572,0.545,0.0,32.147,0.0,4.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.419,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,camera-diffusion-only,1920,1080,10,353.074,2.832,0.089,0.0,352.963,0.0,60.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,camera-diffusion-only,3840,2160,10,2106.555,0.475,0.132,0.0,2106.393,0.0,60.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,default-final,1920,1080,10,15.433,64.796,0.04,0.0,15.381,0.0,5.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,default-final,3840,2160,10,66.583,15.019,0.166,0.0,66.379,0.0,5.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.646,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,dir-only,1920,1080,10,35.391,28.256,0.044,0.0,35.327,0.0,8.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704.0,0.0,1.0,1.0,1.0,0.0,0.621,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,dir-only,3840,2160,10,255.129,3.92,0.091,0.0,255.014,0.0,8.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704.0,0.0,1.0,1.0,1.0,0.0,0.621,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_3840x2160.stdout.log
