candidate,perf_status,quality_status,quality_policy,case,width,height,iterations,avg_wall_ms,avg_fps,avg_cpu_setup_ms,avg_source_copy_ms,avg_command_buffer_ms,avg_output_copy_ms,avg_pass_count,threadgroup,diffusion_group_size,scanner_image_storage,blur_backend,blur_downsample,intermediate_precision,diffusion_cluster_sigma,halation_grouped_tail,scanner_mps,grain_blur_recurrence,dir_tail_backend,source_format,destination_format,host_layout,grain_synthesis_sampler,grain_synthesis_radius_lut,grain_synthesis_target_storage,grain_synthesis_cell_mode,avg_private_scratch_alloc_bytes,avg_private_scratch_alloc_count,avg_scratch_alloc_bytes,avg_scratch_alloc_count,avg_shared_scratch_alloc_bytes,avg_shared_scratch_alloc_count,avg_static_alloc_bytes,avg_static_alloc_count,avg_upload_bytes,camera_diffusion,destination_no_copy,dir,final_post_process,halation,mean_luma,pass_gpu_timing,pass_timing_mode,print_diffusion,private_scratch,production_grain,returncode,source_no_copy,stderr_log,stdout_log
baseline,OK,PASSED,exact,default-final,1920,1080,10,15.433,64.796,0.04,0.0,15.381,0.0,5.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,production-grain,1920,1080,10,47.325,21.131,0.038,0.0,47.271,0.0,11.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.645,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,enlarged-production-grain,1920,1080,10,49.646,20.143,0.044,0.0,49.587,0.0,12.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.716,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,production-grain-no-sublayers,1920,1080,10,26.692,37.464,0.033,0.0,26.641,0.0,9.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,production-grain-no-blur,1920,1080,10,21.036,47.538,0.029,0.0,20.991,0.0,7.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.645,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,auto-exposure,1920,1080,10,8.926,112.031,0.29,0.0,8.622,0.0,4.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.419,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,halation-only,1920,1080,10,22.782,43.894,0.035,0.0,22.73,0.0,21.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,1.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,halation-boost,1920,1080,10,24.119,41.461,0.047,0.0,24.055,0.0,24.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,1.0,0.648,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,camera-diffusion-only,1920,1080,10,353.074,2.832,0.089,0.0,352.963,0.0,60.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,print-diffusion-only,1920,1080,10,352.058,2.84,0.079,0.0,351.957,0.0,61.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,1.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,dir-only,1920,1080,10,35.391,28.256,0.044,0.0,35.327,0.0,8.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704.0,0.0,1.0,1.0,1.0,0.0,0.621,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,scanner-only,1920,1080,10,7.017,142.503,0.029,0.0,6.979,0.0,9.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.277,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,scanner-glare,1920,1080,10,10.772,92.837,0.029,0.0,10.734,0.0,9.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/confirmation_brutal_1536_harnessfix/baseline/perf_all_1920x1080.stdout.log
